Trace
Swept SA
A.02.06,N9010A
79827800,-61.142453749924
79828400,-60.2912583357285
79829000,-60.6512877596482
79829600,-60.5504286254391
79830200,-61.249218185474
79830800,-60.1950522146152
79831400,-60.136421671949
79832000,-59.5869079437629
79832600,-60.0823551755171
79833200,-60.3261476532959
79833800,-61.065058984048
79834400,-60.0650995378118
79835000,-59.7147307226539
79835600,-59.7451447271711
79836200,-60.0341716290525
79836800,-60.1966627019303
79837400,-60.182017941185
79838000,-60.2091224676405
79838600,-60.4033388499839
79839200,-60.1340809928699
79839800,-60.0693842378287
79840400,-60.2321317596307
79841000,-60.0379330641193
79841600,-60.6160363119081
79842200,-60.2434793076069
79842800,-61.651478718861
79843400,-61.3223559503287
79844000,-61.3318438377426
79844600,-61.6528011744174
79845200,-62.1253316701804
79845800,-62.1723105331491
79846400,-63.0524600475611
79847000,-62.2654452007505
79847600,-62.87001089016
79848200,-63.3742122684234
79848800,-64.4414066525805
79849400,-64.2736377901988
79850000,-64.4030473285265
79850600,-64.5202439711857
79851200,-65.1814317522241
79851800,-65.6793304965474
79852400,-65.9692605750502
79853000,-66.7652008194427
79853600,-67.0553575276573
79854200,-67.3949626148695
79854800,-66.68693638942
79855400,-66.743010081148
79856000,-67.2273482258824
79856600,-67.485887925301
79857200,-67.5086023772123
79857800,-67.5679308232825
79858400,-66.6213781155106
79859000,-66.7617527576339
79859600,-65.6172169568716
79860200,-66.5359827904576
79860800,-65.5115889742105
79861400,-64.942622370988
79862000,-64.2464670402192
79862600,-64.2823039475496
79863200,-63.9144250087811
79863800,-62.9548601904347
79864400,-63.0879094666636
79865000,-62.6043969145324
79865600,-62.3618610993029
79866200,-61.8271012595124
79866800,-60.7558522633512
79867400,-61.1303023165035
79868000,-60.4875091192572
79868600,-60.0410839281677
79869200,-60.3815116359793
79869800,-59.143126370651
79870400,-59.6174297716469
79871000,-59.6588524206218
79871600,-59.0707005766039
79872200,-58.5581962292236
79872800,-58.6391544478691
79873400,-58.4186247142678
79874000,-57.8644254193407
79874600,-58.0864096971863
79875200,-57.2795454676699
79875800,-58.1365984908419
79876400,-57.2068590555104
79877000,-57.342465945384
79877600,-57.8381098365391
79878200,-56.9236209829181
79878800,-56.7439101084826
79879400,-57.0914206371229
79880000,-56.9813431551452
79880600,-57.2703319726877
79881200,-56.9761497562604
79881800,-56.7865398174694
79882400,-56.3566143762107
79883000,-56.6939704973644
79883600,-56.8604884319319
79884200,-57.1343569940403
79884800,-57.0452083029018
79885400,-56.7436300457399
79886000,-56.623321573263
79886600,-57.4923668203652
79887200,-57.1680047166507
79887800,-57.1016577731164
79888400,-57.2272625001098
79889000,-57.7099364873323
79889600,-57.8197972310955
79890200,-57.4484079682561
79890800,-57.6611513688745
79891400,-57.9220329690362
79892000,-58.0891167640292
79892600,-58.0652459639295
79893200,-58.5247810494054
79893800,-58.6643948210453
79894400,-59.4055026807681
79895000,-59.5131127407237
79895600,-58.817036443674
79896200,-60.0611592948663
79896800,-60.4995174139614
79897400,-61.1303575663164
79898000,-60.4446796323432
79898600,-61.3857589518745
79899200,-62.2292900358552
79899800,-62.3119553552109
79900400,-62.4923727698583
