Trace
Swept SA
A.02.06,N9010A
526 FSA ,01
Segment,0
Number of Points,1001
Sweep Time,1.520466666667
Start Frequency,79700000
Stop Frequency,80300000
Average Count,0
Average Type,Power(RMS)
RBW,2000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,200
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Narrow
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,AC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,6
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Average
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
79700000,-67.1719966456839
79700600,-67.2332523965751
79701200,-67.9663384084219
79701800,-67.0849673175536
79702400,-68.4646596450814
79703000,-68.5831937216527
79703600,-68.7938704529304
79704200,-68.1365119783577
79704800,-69.196205560306
79705400,-68.6829218921922
79706000,-70.1476693223835
79706600,-70.0494841301214
79707200,-70.1171818937321
79707800,-71.616707330242
79708400,-72.234821711732
79709000,-72.2426248303927
79709600,-71.5868679623025
79710200,-73.1536797715782
79710800,-73.4879318222726
79711400,-73.7567731364128
79712000,-74.0378307190172
79712600,-74.1447203432673
79713200,-74.3288232170497
79713800,-74.4813008193586
79714400,-74.570850514134
79715000,-75.0322100170125
79715600,-73.7412161959629
79716200,-73.6661969671696
79716800,-73.316809111163
79717400,-73.2846030144015
79718000,-73.3359039130627
79718600,-72.653446169205
79719200,-71.9819766196904
79719800,-71.1140089825172
79720400,-71.3764713042791
79721000,-70.5322608841981
79721600,-69.7205283246946
79722200,-69.6474158221045
79722800,-69.6973653257943
79723400,-68.8315035593631
79724000,-68.3177489195548
79724600,-68.3393330418956
79725200,-67.41861832274
79725800,-66.809214192011
79726400,-67.6117258161148
79727000,-66.9692894011595
79727600,-66.7288655437671
79728200,-66.6352615764789
79728800,-65.9037302151055
79729400,-66.1814142305378
79730000,-65.102450897145
79730600,-64.9999849698717
79731200,-64.9036188170537
79731800,-65.5846141118127
79732400,-65.2475234894289
79733000,-64.8293727705904
79733600,-65.4943373621663
79734200,-64.8901460735757
79734800,-64.4162627754963
79735400,-64.0371116184275
79736000,-64.3798314140202
79736600,-64.5363417277956
79737200,-63.8350852446631
79737800,-64.4819541201121
79738400,-64.4161867460754
79739000,-64.3759271846785
79739600,-64.2350182827939
79740200,-63.8728640587025
79740800,-64.0623780843191
79741400,-64.2375633117541
79742000,-64.2881696210841
79742600,-64.6166904689296
79743200,-64.6917106503029
